													Lambda                                            	Stroke/Bore                                       	Volumetric coefficient                            	Compression ratio                                 	norm. TKE                                         	SA                                                	Water inj.                                        	EIVC                                              	Torque [Nm]                                       	Temp in Turbo [K]                                 	In cylinder max Pressure [bar]                    	BSFC [g/kwH]                                      	Knock mass [mg]                                   	Max compressor pressure [bar]                     	BMEP [bar]                                        
Lambda                                            	nan                                               	nan                                               	nan                                               	nan                                               	nan                                               	nan                                               	nan                                               	nan                                               	nan                                               	nan                                               	nan                                               	nan                                               	nan                                               	nan                                               	nan                                               
Stroke/Bore                                       	nan                                               	1.000                                             	-0.013                                            	nan                                               	-0.078                                            	-0.078                                            	-0.074                                            	-0.067                                            	0.112                                             	-0.043                                            	0.138                                             	-0.253                                            	0.094                                             	-0.049                                            	0.111                                             
Volumetric coefficient                            	nan                                               	-0.013                                            	1.000                                             	nan                                               	-0.122                                            	-0.120                                            	-0.115                                            	-0.093                                            	0.857                                             	0.010                                             	0.155                                             	-0.255                                            	0.500                                             	0.442                                             	0.854                                             
Compression ratio                                 	nan                                               	nan                                               	nan                                               	nan                                               	nan                                               	nan                                               	nan                                               	nan                                               	nan                                               	nan                                               	nan                                               	nan                                               	nan                                               	nan                                               	nan                                               
norm. TKE                                         	nan                                               	-0.078                                            	-0.122                                            	nan                                               	1.000                                             	0.999                                             	0.951                                             	0.861                                             	0.378                                             	-0.880                                            	0.933                                             	-0.866                                            	0.627                                             	0.478                                             	0.384                                             
SA                                                	nan                                               	-0.078                                            	-0.120                                            	nan                                               	0.999                                             	1.000                                             	0.940                                             	0.884                                             	0.381                                             	-0.862                                            	0.935                                             	-0.867                                            	0.611                                             	0.491                                             	0.386                                             
Water inj.                                        	nan                                               	-0.074                                            	-0.115                                            	nan                                               	0.951                                             	0.940                                             	1.000                                             	0.716                                             	0.354                                             	-0.890                                            	0.858                                             	-0.813                                            	0.649                                             	0.400                                             	0.360                                             
EIVC                                              	nan                                               	-0.067                                            	-0.093                                            	nan                                               	0.861                                             	0.884                                             	0.716                                             	1.000                                             	0.361                                             	-0.550                                            	0.839                                             	-0.772                                            	0.378                                             	0.634                                             	0.357                                             
Torque [Nm]                                       	nan                                               	0.112                                             	0.857                                             	nan                                               	0.378                                             	0.381                                             	0.354                                             	0.361                                             	1.000                                             	-0.419                                            	0.636                                             	-0.714                                            	0.773                                             	0.663                                             	1.000                                             
Temp in Turbo [K]                                 	nan                                               	-0.043                                            	0.010                                             	nan                                               	-0.880                                            	-0.862                                            	-0.890                                            	-0.550                                            	-0.419                                            	1.000                                             	-0.856                                            	0.816                                             	-0.766                                            	-0.207                                            	-0.433                                            
In cylinder max Pressure [bar]                    	nan                                               	0.138                                             	0.155                                             	nan                                               	0.933                                             	0.935                                             	0.858                                             	0.839                                             	0.636                                             	-0.856                                            	1.000                                             	-0.982                                            	0.759                                             	0.599                                             	0.642                                             
BSFC [g/kwH]                                      	nan                                               	-0.253                                            	-0.255                                            	nan                                               	-0.866                                            	-0.867                                            	-0.813                                            	-0.772                                            	-0.714                                            	0.816                                             	-0.982                                            	1.000                                             	-0.771                                            	-0.626                                            	-0.719                                            
Knock mass [mg]                                   	nan                                               	0.094                                             	0.500                                             	nan                                               	0.627                                             	0.611                                             	0.649                                             	0.378                                             	0.773                                             	-0.766                                            	0.759                                             	-0.771                                            	1.000                                             	0.473                                             	0.784                                             
Max compressor pressure [bar]                     	nan                                               	-0.049                                            	0.442                                             	nan                                               	0.478                                             	0.491                                             	0.400                                             	0.634                                             	0.663                                             	-0.207                                            	0.599                                             	-0.626                                            	0.473                                             	1.000                                             	0.660                                             
BMEP [bar]                                        	nan                                               	0.111                                             	0.854                                             	nan                                               	0.384                                             	0.386                                             	0.360                                             	0.357                                             	1.000                                             	-0.433                                            	0.642                                             	-0.719                                            	0.784                                             	0.660                                             	1.000                                             
